ID,lat,lng,date,ppm,address
1,49.46626,6.592454,"2019-11-18 08:45:46",559.171,"Luxemburger Straße 50, 66663 Merzig, Deutschland"
2,49.4663,6.592436,"2019-11-18 09:28:01",504.2799,"Luxemburger Straße 50, 66663 Merzig, Deutschland"
3,49.46627,6.592458,"2019-11-18 09:30:51",489.0152,"Luxemburger Straße 50, 66663 Merzig, Deutschland"
4,49.46627,6.592458,"2019-11-18 21:30:51",489.0152,"Luxemburger Straße 50, 66663 Merzig, Deutschland"
5,49.46623,6.592426,"2019-11-18 21:36:53",573.7086,"Luxemburger Straße 50, 66663 Merzig, Deutschland"
6,49.46626,6.592478,"2019-11-18 21:36:58",512.6749,"Luxemburger Straße 50, 66663 Merzig, Deutschland"
7,49.46627,6.59249,"2019-11-18 21:37:10",539.8826,"Luxemburger Straße 50, 66663 Merzig, Deutschland"
8,49.46627,6.592491,"2019-11-18 21:37:15",592.705,"Luxemburger Straße 50, 66663 Merzig, Deutschland"
9,49.46626,6.592495,"2019-11-18 21:37:20",526.1206,"Luxemburger Straße 50, 66663 Merzig, Deutschland"
10,49.46626,6.592493,"2019-11-18 21:37:26",529.8423,"Luxemburger Straße 50, 66663 Merzig, Deutschland"
11,49.46626,6.592497,"2019-11-18 21:38:42",475.2928,"Luxemburger Straße 50, 66663 Merzig, Deutschland"
12,49.46626,6.592495,"2019-11-18 21:38:47",463.0172,"Luxemburger Straße 50, 66663 Merzig, Deutschland"
13,49.46626,6.592492,"2019-11-18 21:38:52",526.1206,"Luxemburger Straße 50, 66663 Merzig, Deutschland"
14,49.46625,6.59248,"2019-11-18 21:38:58",489.0152,"Luxemburger Straße 50, 66663 Merzig, Deutschland"
15,49.46629,6.592519,"2019-11-18 21:46:36",447.8025,"Luxemburger Straße 50, 66663 Merzig, Deutschland"
16,49.4663,6.592527,"2019-11-18 21:46:41",431.9957,"Luxemburger Straße 50, 66663 Merzig, Deutschland"
17,49.4663,6.592529,"2019-11-18 21:46:46",436.1617,"Luxemburger Straße 50, 66663 Merzig, Deutschland"
18,49.46629,6.592527,"2019-11-18 21:46:51",399.9167,"Luxemburger Straße 50, 66663 Merzig, Deutschland"
19,49.46629,6.592524,"2019-11-18 21:46:56",458.6239,"Luxemburger Straße 50, 66663 Merzig, Deutschland"
20,49.46629,6.592522,"2019-11-18 21:47:01",522.4227,"Luxemburger Straße 50, 66663 Merzig, Deutschland"
21,49.46629,6.592523,"2019-11-18 21:47:03",331.1653,"Luxemburger Straße 50, 66663 Merzig, Deutschland"
22,49.46627,6.5924916,"2019-11-18 22:55:46",363.6745,"Luxemburger Straße 50, 66663 Merzig, Deutschland"
23,49.46626,6.592479,"2019-11-18 22:55:51",370.8637,"Luxemburger Straße 50, 66663 Merzig, Deutschland"
24,49.46626,6.5924816,"2019-11-18 22:55:56",368.1533,"Luxemburger Straße 50, 66663 Merzig, Deutschland"
25,49.46626,6.592483,"2019-11-18 22:56:01",361.0101,"Luxemburger Straße 50, 66663 Merzig, Deutschland"
26,49.466213,6.5925026,"2019-11-18 22:56:06",381.8818,"Luxemburger Straße 37, 66663 Merzig, Deutschland"
27,49.466255,6.5924864,"2019-11-18 22:56:11",368.1533,"Luxemburger Straße 50, 66663 Merzig, Deutschland"
28,49.466263,6.5925107,"2019-11-18 22:56:16",362.7844,"Luxemburger Straße 50, 66663 Merzig, Deutschland"
29,49.46625,6.592495,"2019-11-18 21:56:56",359.2435,"Luxemburger Straße 50, 66663 Merzig, Deutschland"
30,49.46626,6.592498,"2019-11-18 21:57:01",364.5663,"Luxemburger Straße 50, 66663 Merzig, Deutschland"
31,49.46625,6.5925,"2019-11-18 21:57:06",379.1006,"Luxemburger Straße 50, 66663 Merzig, Deutschland"
32,49.46625,6.592502,"2019-11-18 21:57:11",326.2714,"Luxemburger Straße 50, 66663 Merzig, Deutschland"
33,49.30361,7.2690907,"2019-11-19 09:57:59",452.1034,"Konrad-Zuse-Straße 19, 66459 Kirkel, Deutschland"
34,49.30361,7.2690907,"2019-11-19 09:58:04",452.1034,"Konrad-Zuse-Straße 19, 66459 Kirkel, Deutschland"
35,49.30361,7.2690907,"2019-11-19 09:58:09",451.0247,"Konrad-Zuse-Straße 19, 66459 Kirkel, Deutschland"
36,49.30361,7.2690907,"2019-11-19 09:58:14",453.1844,"Konrad-Zuse-Straße 19, 66459 Kirkel, Deutschland"
37,49.30361,7.2690907,"2019-11-19 11:59:04",448.8743,"Konrad-Zuse-Straße 19, 66459 Kirkel, Deutschland"
38,49.30361,7.2690907,"2019-11-19 11:59:10",487.8582,"Konrad-Zuse-Straße 19, 66459 Kirkel, Deutschland"
39,49.30361,7.2690907,"2019-11-19 11:59:14",429.926,"Konrad-Zuse-Straße 19, 66459 Kirkel, Deutschland"
40,49.30361,7.2690907,"2019-11-19 11:59:19",452.1034,"Konrad-Zuse-Straße 19, 66459 Kirkel, Deutschland"
41,49.30361,7.2690907,"2019-11-19 11:59:24",435.1168,"Konrad-Zuse-Straße 19, 66459 Kirkel, Deutschland"
42,49.30361,7.2690907,"2019-11-19 11:59:29",440.3632,"Konrad-Zuse-Straße 19, 66459 Kirkel, Deutschland"
43,49.30361,7.2690907,"2019-11-19 11:59:34",427.8651,"Konrad-Zuse-Straße 19, 66459 Kirkel, Deutschland"
44,49.30361,7.2690907,"2019-11-19 11:59:39",429.926,"Konrad-Zuse-Straße 19, 66459 Kirkel, Deutschland"
45,49.30361,7.2690907,"2019-11-19 11:59:44",440.3632,"Konrad-Zuse-Straße 19, 66459 Kirkel, Deutschland"
46,49.30361,7.2690907,"2019-11-19 11:59:49",455.3533,"Konrad-Zuse-Straße 19, 66459 Kirkel, Deutschland"
47,49.30361,7.2690907,"2019-11-19 11:59:54",457.5313,"Konrad-Zuse-Straße 19, 66459 Kirkel, Deutschland"
48,49.30361,7.2690907,"2019-11-19 11:59:59",441.4191,"Konrad-Zuse-Straße 19, 66459 Kirkel, Deutschland"
49,49.30361,7.2690907,"2019-11-19 12:00:04",452.1034,"Konrad-Zuse-Straße 19, 66459 Kirkel, Deutschland"
50,49.30361,7.2690907,"2019-11-19 12:00:09",444.6007,"Konrad-Zuse-Straße 19, 66459 Kirkel, Deutschland"
51,49.30361,7.2690907,"2019-11-19 12:00:14",448.8743,"Konrad-Zuse-Straße 19, 66459 Kirkel, Deutschland"
52,49.30361,7.2690907,"2019-11-19 12:00:19",445.6656,"Konrad-Zuse-Straße 19, 66459 Kirkel, Deutschland"
53,49.30361,7.2690907,"2019-11-19 12:00:24",457.5313,"Konrad-Zuse-Straße 19, 66459 Kirkel, Deutschland"
54,49.30361,7.2690907,"2019-11-19 12:00:29",445.6656,"Konrad-Zuse-Straße 19, 66459 Kirkel, Deutschland"
55,49.30361,7.2690907,"2019-11-19 12:00:34",417.6913,"Konrad-Zuse-Straße 19, 66459 Kirkel, Deutschland"
56,49.30361,7.2690907,"2019-11-19 12:00:39",456.4412,"Konrad-Zuse-Straße 19, 66459 Kirkel, Deutschland"
57,49.30361,7.2690907,"2019-11-19 12:00:44",438.2579,"Konrad-Zuse-Straße 19, 66459 Kirkel, Deutschland"
58,49.30361,7.2690907,"2019-11-19 12:00:49",453.1844,"Konrad-Zuse-Straße 19, 66459 Kirkel, Deutschland"
59,49.30361,7.2690907,"2019-11-19 12:00:54",436.1617,"Konrad-Zuse-Straße 19, 66459 Kirkel, Deutschland"
60,49.30361,7.2690907,"2019-11-19 12:00:59",441.4191,"Konrad-Zuse-Straße 19, 66459 Kirkel, Deutschland"
61,49.30361,7.2690907,"2019-11-19 12:01:04",452.1034,"Konrad-Zuse-Straße 19, 66459 Kirkel, Deutschland"
62,49.30361,7.2690907,"2019-11-19 12:01:09",440.3632,"Konrad-Zuse-Straße 19, 66459 Kirkel, Deutschland"
63,49.30361,7.2690907,"2019-11-19 12:01:14",438.2579,"Konrad-Zuse-Straße 19, 66459 Kirkel, Deutschland"
64,49.30361,7.2690907,"2019-11-19 12:01:19",466.3367,"Konrad-Zuse-Straße 19, 66459 Kirkel, Deutschland"
65,49.30361,7.2690907,"2019-11-19 12:01:24",461.9153,"Konrad-Zuse-Straße 19, 66459 Kirkel, Deutschland"
66,49.30361,7.2690907,"2019-11-19 12:01:29",453.1844,"Konrad-Zuse-Straße 19, 66459 Kirkel, Deutschland"
67,49.30361,7.2690907,"2019-11-19 12:01:34",442.4774,"Konrad-Zuse-Straße 19, 66459 Kirkel, Deutschland"
68,49.30361,7.2690907,"2019-11-19 12:01:39",437.2086,"Konrad-Zuse-Straße 19, 66459 Kirkel, Deutschland"
69,49.30361,7.2690907,"2019-11-19 12:01:44",435.1168,"Konrad-Zuse-Straße 19, 66459 Kirkel, Deutschland"
70,49.30361,7.2690907,"2019-11-19 12:01:49",458.6239,"Konrad-Zuse-Straße 19, 66459 Kirkel, Deutschland"
71,49.30361,7.2690907,"2019-11-19 12:01:54",448.8743,"Konrad-Zuse-Straße 19, 66459 Kirkel, Deutschland"
72,49.5,7.0,"2019-11-19 11:50:20",400.0,Saarland
73,49.30361,7.2690907,"2019-11-19 16:33:51",510.2637,"Konrad-Zuse-Straße 19, 66459 Kirkel, Deutschland"
74,49.30361,7.2690907,"2019-11-19 16:33:51",473.0396,"Konrad-Zuse-Straße 19, 66459 Kirkel, Deutschland"
75,49.30361,7.2690907,"2019-11-19 16:33:51",477.5558,"Konrad-Zuse-Straße 19, 66459 Kirkel, Deutschland"
76,49.30361,7.2690907,"2019-11-19 16:33:52",471.9165,"Konrad-Zuse-Straße 19, 66459 Kirkel, Deutschland"
77,49.30361,7.2690907,"2019-11-19 16:33:52",458.6239,"Konrad-Zuse-Straße 19, 66459 Kirkel, Deutschland"
78,49.30361,7.2690907,"2019-11-19 16:33:52",484.4023,"Konrad-Zuse-Straße 19, 66459 Kirkel, Deutschland"
79,49.30361,7.2690907,"2019-11-19 16:33:52",464.1213,"Konrad-Zuse-Straße 19, 66459 Kirkel, Deutschland"
80,49.30361,7.2690907,"2019-11-19 16:33:52",468.5616,"Konrad-Zuse-Straße 19, 66459 Kirkel, Deutschland"
81,49.30361,7.2690907,"2019-11-19 16:33:52",476.4231,"Konrad-Zuse-Straße 19, 66459 Kirkel, Deutschland"
82,49.30361,7.2690907,"2019-11-19 16:33:52",461.9153,"Konrad-Zuse-Straße 19, 66459 Kirkel, Deutschland"
83,49.30361,7.2690907,"2019-11-19 16:33:52",470.7958,"Konrad-Zuse-Straße 19, 66459 Kirkel, Deutschland"
84,49.30361,7.2690907,"2019-11-19 16:33:52",477.5558,"Konrad-Zuse-Straße 19, 66459 Kirkel, Deutschland"
85,49.30361,7.2690907,"2019-11-19 16:33:52",490.1745,"Konrad-Zuse-Straße 19, 66459 Kirkel, Deutschland"
86,49.30361,7.2690907,"2019-11-19 16:33:52",464.1213,"Konrad-Zuse-Straße 19, 66459 Kirkel, Deutschland"
87,49.30361,7.2690907,"2019-11-19 16:33:52",490.1745,"Konrad-Zuse-Straße 19, 66459 Kirkel, Deutschland"
88,49.30361,7.2690907,"2019-11-19 16:33:52",487.8582,"Konrad-Zuse-Straße 19, 66459 Kirkel, Deutschland"
89,49.30361,7.2690907,"2019-11-19 16:33:52",494.8366,"Konrad-Zuse-Straße 19, 66459 Kirkel, Deutschland"
90,49.30361,7.2690907,"2019-11-19 16:34:03",479.8282,"Konrad-Zuse-Straße 19, 66459 Kirkel, Deutschland"
91,49.30361,7.2690907,"2019-11-19 16:34:03",464.1213,"Konrad-Zuse-Straße 19, 66459 Kirkel, Deutschland"
92,49.30361,7.2690907,"2019-11-19 16:34:07",491.3363,"Konrad-Zuse-Straße 19, 66459 Kirkel, Deutschland"
93,49.30361,7.2690907,"2019-11-19 16:34:09",471.9165,"Konrad-Zuse-Straße 19, 66459 Kirkel, Deutschland"
94,49.30361,7.2690907,"2019-11-19 16:34:22",461.9153,"Konrad-Zuse-Straße 19, 66459 Kirkel, Deutschland"
95,49.30361,7.2690907,"2019-11-19 16:34:22",470.7958,"Konrad-Zuse-Straße 19, 66459 Kirkel, Deutschland"
96,49.30361,7.2690907,"2019-11-19 16:34:24",470.7958,"Konrad-Zuse-Straße 19, 66459 Kirkel, Deutschland"
97,49.30361,7.2690907,"2019-11-19 16:34:29",473.0396,"Konrad-Zuse-Straße 19, 66459 Kirkel, Deutschland"
98,49.30361,7.2690907,"2019-11-19 16:34:34",487.8582,"Konrad-Zuse-Straße 19, 66459 Kirkel, Deutschland"
99,49.30361,7.2690907,"2019-11-19 16:34:39",466.3367,"Konrad-Zuse-Straße 19, 66459 Kirkel, Deutschland"
100,49.30361,7.2690907,"2019-11-19 16:34:44",491.3363,"Konrad-Zuse-Straße 19, 66459 Kirkel, Deutschland"
101,49.30361,7.2690907,"2019-11-19 16:34:49",483.2551,"Konrad-Zuse-Straße 19, 66459 Kirkel, Deutschland"
102,49.30361,7.2690907,"2019-11-19 16:34:54",490.1745,"Konrad-Zuse-Straße 19, 66459 Kirkel, Deutschland"
103,49.30361,7.2690907,"2019-11-19 16:36:06",469.6774,"Konrad-Zuse-Straße 19, 66459 Kirkel, Deutschland"
104,49.30361,7.2690907,"2019-11-19 16:36:06",500.7199,"Konrad-Zuse-Straße 19, 66459 Kirkel, Deutschland"
105,49.30361,7.2690907,"2019-11-19 16:36:06",482.1104,"Konrad-Zuse-Straße 19, 66459 Kirkel, Deutschland"
